cnt,cnt_ben,cnt_mal,proc,proc_chain
1,0,1,explorer.exe,excel.exe => powershell.exe => unknown_process.exe => unknown_process.exe => explorer.exe
5,0,5,explorer.exe,winword.exe => cmd.exe => cmd.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,excel.exe => cmd.exe => powershell.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,winword.exe => cmd.exe => powershell.exe => unknown_process.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => svchost.exe => unknown_process.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => svchost.exe => csrss.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => unknown_process.exe => rundll32.exe => svchost.exe => explorer.exe
9,0,9,explorer.exe,winword.exe => cmd.exe => powershell.exe => cmd.exe => unknown_process.pkzip => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => rundll32.exe => powershell.exe => explorer.exe
3,0,3,explorer.exe,winword.exe => cmd.exe => powershell.exe => unknown_process.exe => control.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => winlogon.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => cmd.exe => unknown_process.exe => unknown_process.exe => explorer.exe
12,0,12,explorer.exe,unknown_process.exe => control.exe => explorer.exe
1,0,1,explorer.exe,unknown_process => unknown_process.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => regsvr32.exe => explorer.exe
2,0,2,explorer.exe,winword.exe => powershell.exe => unknown_process.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => vbc.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => powershell.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => explorer.exe => unknown_process.exe => cmd.exe => unknown_process.exe => cmd.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,winword.exe => powershell.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,winword.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,svchost.exe => svchost.exe => explorer.exe
4,1,3,explorer.exe,unknown_process.exe => cmd.exe => explorer.exe
1,0,1,explorer.exe,iexplore.exe => iexplore.exe => svchost.exe => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => winlogon.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => dwm.exe => explorer.exe
85,0,85,explorer.exe,explorer.exe
232,0,232,explorer.exe,unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => rundll32.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => cmd.exe => cmd.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => explorer.exe => explorer.exe
1,0,1,explorer.exe,winword.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe
6,0,6,explorer.exe,winword.exe => cmd.exe => powershell.exe => unknown_process.exe => explorer.exe
3,0,3,explorer.exe,winword.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => svchost.exe => svchost.exe => explorer.exe
84,0,84,explorer.exe,unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => notepad.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.xyz => unknown_process.xyz => explorer.exe
1,0,1,explorer.exe,winword.exe => cmd.exe => cmd.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,explorer.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => unknown_process.tmp => explorer.exe
6,0,6,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => rundll32.exe => svchost.exe => explorer.exe
2,0,2,explorer.exe,wscript.exe => unknown_process.scr => explorer.exe
23,0,23,explorer.exe,unknown_process.exe => svchost.exe => explorer.exe
3,0,3,explorer.exe,winword.exe => cmd.exe => powershell.exe => cmd.exe => unknown_process.pkzip => control.exe => explorer.exe
4,4,0,explorer.exe,cmd.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.tmp => explorer.exe
1,0,1,explorer.exe,unknown_process => unknown_process.exe => explorer.exe
2,0,2,explorer.exe,winword.exe => powershell.exe => unknown_process.exe => control.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => winver.exe => explorer.exe
1,0,1,explorer.exe,wscript.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.tmp => unknown_process.tmp => explorer.exe
1,0,1,explorer.exe,rundll32.exe => unknown_process.exe => unknown_process.exe => iexplore.exe => explorer.exe
1,0,1,explorer.exe,powershell.exe => powershell.exe => unknown_process.exe => svchost.exe => explorer.exe
2,0,2,explorer.exe,unknown_process.exe => unknown_process.exe => unknown_process.tmp => explorer.exe
20,0,20,explorer.exe,winword.exe => powershell.exe => unknown_process.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => svchost.exe => explorer.exe
1,0,1,explorer.exe,winword.exe => unknown_process.exe => regasm.exe => explorer.exe
1,0,1,explorer.exe,calc.exe => calc.exe => explorer.exe
1,0,1,explorer.exe,unknown_process.exe => unknown_process.exe => rundll32.exe => explorer.exe
20,0,20,msiexec.exe,unknown_process.exe => cmd.exe => msiexec.exe
8,0,8,msiexec.exe,rundll32.exe => rundll32.exe => msiexec.exe
15,2,13,msiexec.exe,unknown_process.exe => setup.exe => msiexec.exe
5,4,1,msiexec.exe,unknown_process.exe => unknown_process.tmp => msiexec.exe
121,16,105,msiexec.exe,unknown_process.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.aspxdid1579249affid498casinonamespringbok2rtgurlhttp3a2f2fwww2ecdnfile2eeu2fdl2ftracksetup2ftracksetup2easpx3fdid3d1 => unknown_process.tmp => msiexec.exe
5,0,5,msiexec.exe,winword.exe => msiexec.exe
5,0,5,msiexec.exe,setup.exe => msiexec.exe
1,0,1,msiexec.exe,excel.exe => unknown_process.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.exe => cmd.exe => unknown_process.exe => unknown_process.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.tmp => msiexec.exe
1,0,1,msiexec.exe,unknown_process.exe => unknown_process.com => unknown_process.exe => unknown_process.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.exe => explorer.exe => msiexec.exe
1,0,1,msiexec.exe,setup.exe => setup.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.exe => cscript.exe => cscript.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.exe => cmd.exe => unknown_process.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => msiexec.exe
2,0,2,msiexec.exe,unknown_process.exe => msiexec.exe => msiexec.exe
25,6,19,msiexec.exe,unknown_process.exe => unknown_process.exe => msiexec.exe
5,0,5,msiexec.exe,cmd.exe => msiexec.exe
337,0,337,msiexec.exe,msiexec.exe
7,0,7,msiexec.exe,unknown_process.exe => cmd.exe => unknown_process.exe => unknown_process.exe => cmd.exe => msiexec.exe
1,0,1,msiexec.exe,winword.exe => unknown_process.exe => unknown_process.exe => explorer.exe => msiexec.exe
2,0,2,msiexec.exe,unknown_process.exe => unknown_process.exe => msiexec.exe => unknown_process.exe => msiexec.exe
4,0,4,msiexec.exe,excel.exe => msiexec.exe
1,0,1,msiexec.exe,unknown_process.tmp => unknown_process.exe => msiexec.exe
1,0,1,wmic.exe,unknown_process.exe => cmd.exe => cmd.exe => unknown_process.exe => cmd.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,unknown_process.exe => cmd.exe => cmd.exe => cscript.exe => cmd.exe => wmic.exe
8,0,8,wmic.exe,cmd.exe => wmic.exe
2,0,2,wmic.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => mshta.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,unknown_process.exe => cmd.exe => unknown_process.exe => cmd.exe => wmic.exe
5,0,5,wmic.exe,setup.exe => unknown_process.tmp => wmic.exe
1,0,1,wmic.exe,wscript.exe => eventvwr.exe => unknown_process.exe => wmic.exe
3,0,3,wmic.exe,unknown_process.exe => cmd.exe => unknown_process.exe => wmic.exe
27,0,27,wmic.exe,wscript.exe => unknown_process.exe => unknown_process.exe => wmic.exe
6,0,6,wmic.exe,wscript.exe => unknown_process.exe => wmic.exe
1,0,1,wmic.exe,unknown_process.exe => unknown_process.exe => winlogon.exe => mshta.exe => cmd.exe => wmic.exe
6,0,6,wmic.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,unknown_process.exe => svchost.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,wscript.exe => unknown_process.scr => unknown_process.scr => wmic.exe
58,0,58,wmic.exe,unknown_process.exe => unknown_process.exe => cmd.exe => wmic.exe
91,0,91,wmic.exe,unknown_process.exe => wmic.exe
10,2,8,wmic.exe,wmic.exe
8,0,8,wmic.exe,unknown_process.exe => cmd.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => wmic.exe
2,0,2,wmic.exe,unknown_process.exe => unknown_process.tmp => cmd.exe => wmic.exe
1,0,1,wmic.exe,cmd.exe => mshta.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,unknown_process.exe => unknown_process.tmp => wmic.exe
79,0,79,wmic.exe,unknown_process.exe => unknown_process.exe => wmic.exe
2,0,2,wmic.exe,excel.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,osk.exe => osk.exe => osk.exe => mshta.exe => cmd.exe => wmic.exe
1,1,0,wmic.exe,cmd.exe => cmd.exe => wmic.exe
43,0,43,wmic.exe,unknown_process.exe => cmd.exe => wmic.exe
1,0,1,wmic.exe,unknown_process.exe => cmd.exe => wscript.exe => regsvr32.exe => rundll32.exe => wmic.exe
4,0,4,wmic.exe,unknown_process.exe => iexplore.exe => cmd.exe => wmic.exe
1,0,1,winword.exe,unknown_process.exe => unknown_process.tmp => winword.exe
1,0,1,winword.exe,cmd.exe => mshta.exe => powershell.exe => winword.exe
2,0,2,winword.exe,winword.exe => cmd.exe => unknown_process.exe => unknown_process.tmp => winword.exe
24,1,23,winword.exe,unknown_process.exe => winword.exe
1,0,1,winword.exe,cmd.exe => cmd.exe => winword.exe
6009,2322,3687,winword.exe,winword.exe
1,0,1,winword.exe,unknown_process.exe => regasm.exe => winword.exe
17,5,12,winword.exe,winword.exe => winword.exe
12,0,12,winword.exe,winword.exe => cmd.exe => cmd.exe => winword.exe
1,0,1,winword.exe,cmstp.exe => cmd.exe => winword.exe
2,0,2,winword.exe,cmd.exe => winword.exe
2,0,2,winword.exe,unknown_process.exe => cmd.exe => winword.exe
1,0,1,winword.exe,wscript.exe => cmd.exe => winword.exe
1,0,1,winword.exe,unknown_process.exe => unknown_process.vbe => powershell.exe => winword.exe
1,0,1,winword.exe,unknown_process.exe => winword.exe => winword.exe
2,0,2,winword.exe,unknown_process.exe => unknown_process.exe => winword.exe
2,0,2,winword.exe,wscript.exe => winword.exe
1,0,1,winword.exe,mshta.exe => cmd.exe => powershell.exe => unknown_process.exe => winword.exe
1,0,1,infdefaultinstall.exe,unknown_process.exe => infdefaultinstall.exe
1,0,1,odbcconf.exe,winword.exe => cmd.exe => cmd.exe => odbcconf.exe
1,0,1,mshta.exe,unknown_process.1532508752ga_cndirect_downloadg => wscript.exe => unknown_process.exe => mshta.exe
1,0,1,mshta.exe,wscript.exe => mshta.exe
41,41,0,mshta.exe,mshta.exe
17,0,17,mshta.exe,unknown_process.exe => mshta.exe
2,0,2,mshta.exe,osk.exe => osk.exe => osk.exe => mshta.exe
10,1,9,mshta.exe,unknown_process.exe => unknown_process.exe => mshta.exe
3,0,3,mshta.exe,unknown_process.exe => unknown_process.exe => winlogon.exe => mshta.exe
1,0,1,mshta.exe,unknown_process.exe => cmd.exe => mshta.exe
4,0,4,mshta.exe,iexplore.exe => iexplore.exe => mshta.exe
1,0,1,mshta.exe,osk.exe => osk.exe => mshta.exe
5,0,5,mshta.exe,unknown_process.exe => wscript.exe => unknown_process.exe => mshta.exe => cmd.exe => cmd.exe => mshta.exe
5,0,5,mshta.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => mshta.exe
1,0,1,mshta.exe,wmiprvse.exe => mshta.exe
1,0,1,mshta.exe,unknown_process.exe => wscript.exe => unknown_process.exe => mshta.exe => unknown_process.exe => unknown_process.exe => mshta.exe
2,0,2,mshta.exe,unknown_process.exe => cmd.exe => cmd.exe => unknown_process.exe => cmd.exe => mshta.exe
2,0,2,mshta.exe,cmd.exe => mshta.exe
11,0,11,mshta.exe,unknown_process.exe => wscript.exe => unknown_process.exe => mshta.exe
1,0,1,mshta.exe,unknown_process.exe => svchost.exe => mshta.exe
15,15,0,msdt.exe,iexplore.exe => iexplore.exe => msdt.exe
1,0,1,msdt.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => explorer.exe => msdt.exe
1,0,1,msdt.exe,unknown_process.exe => explorer.exe => msdt.exe
2,0,2,msdt.exe,unknown_process.exe => unknown_process.exe => explorer.exe => msdt.exe
1,1,0,msdt.exe,cmd.exe => iexplore.exe => iexplore.exe => msdt.exe
3,0,3,forfiles.exe,unknown_process.exe => cmd.exe => forfiles.exe
2,0,2,forfiles.exe,excel.exe => forfiles.exe
4,0,4,forfiles.exe,winword.exe => forfiles.exe
9,0,9,msbuild.exe,unknown_process.exe => unknown_process.exe => msbuild.exe
1,0,1,msbuild.exe,winword.exe => svchost.exe => msbuild.exe
1,0,1,msbuild.exe,unknown_process.exe => msbuild.exe => unknown_process.exe => msbuild.exe => msbuild.exe
3,0,3,msbuild.exe,unknown_process.exe => msbuild.exe => msbuild.exe
7,0,7,msbuild.exe,unknown_process.exe => msbuild.exe
1,0,1,msbuild.exe,unknown_process.exe => unknown_process.exe => msbuild.exe => msbuild.exe
1,0,1,msbuild.exe,msbuild.exe
1,0,1,msbuild.exe,unknown_process.exe => msbuild.exe => unknown_process.exe => msbuild.exe
3,0,3,cmdkey.exe,unknown_process.exe => unknown_process.exe => cmd.exe => cmdkey.exe
1,0,1,cmdkey.exe,unknown_process.exe => cmdkey.exe
1,0,1,reg.exe,setup.exe => unknown_process.exe => cmd.exe => reg.exe
2,0,2,reg.exe,unknown_process.exe => notepad.exe => cmd.exe => reg.exe
101,0,101,reg.exe,winword.exe => cmd.exe => cmd.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process => wscript.exe => cmd.exe => csrss.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => vbc.exe => unknown_process.exe => reg.exe
15,0,15,reg.exe,unknown_process.exe => wscript.exe => cmd.exe => wscript.exe => cmd.exe => reg.exe
6,0,6,reg.exe,unknown_process.exe => wscript.exe => cmd.exe => taskeng.exe => cmd.exe => reg.exe
2,0,2,reg.exe,unknown_process.exe => wscript.exe => unknown_process.exe => mshta.exe => unknown_process.exe => unknown_process.exe => cmd.exe => reg.exe
2,0,2,reg.exe,install.exe => unknown_process.exe => wscript.exe => cmd.exe => reg.exe
6,0,6,reg.exe,unknown_process.exe => cmd.exe => unknown_process.exe => reg.exe
2,0,2,reg.exe,unknown_process.exe => unknown_process.exe => cmd.exe => cmd.exe => reg.exe
20,0,20,reg.exe,unknown_process.exe => wscript.exe => unknown_process.exe => cmd.exe => reg.exe
11,0,11,reg.exe,unknown_process.exe => unknown_process.tmp => reg.exe
5,0,5,reg.exe,unknown_process.exe => cmd.exe => cmd.exe => cscript.exe => cmd.exe => reg.exe
316,0,316,reg.exe,unknown_process.exe => cmd.exe => reg.exe
185,0,185,reg.exe,unknown_process.exe => unknown_process.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => winmgmt.exe => reg.exe
22,0,22,reg.exe,unknown_process.exe => unknown_process.exe => reg.exe
6,0,6,reg.exe,cmd.exe => cmd.exe => cmd.exe => reg.exe
39,39,0,reg.exe,cmd.exe => cmd.exe => reg.exe
26,0,26,reg.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => cmd.exe => unknown_process.exe => unknown_process.exe => wscript.exe => cmd.exe => reg.exe
22,0,22,reg.exe,unknown_process.exe => unknown_process.tmp => cmd.exe => reg.exe
1,0,1,reg.exe,excel.exe => powershell.exe => unknown_process.exe => cmd.exe => reg.exe
13,0,13,reg.exe,unknown_process.exe => cmd.exe => svchost.exe => cmd.exe => reg.exe
12,0,12,reg.exe,powershell.exe => reg.exe
10,0,10,reg.exe,unknown_process.exe => wscript.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => unknown_process.tmp => unknown_process.exe => reg.exe
3,0,3,reg.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => reg.exe
98,0,98,reg.exe,winword.exe => cmd.exe => cmd.exe => reg.exe
10,0,10,reg.exe,wscript.exe => reg.exe
2,0,2,reg.exe,unknown_process.exe => unknown_process.exe => cmd.exe => unknown_process.exe => wscript.exe => cmd.exe => reg.exe
2,0,2,reg.exe,unknown_process.exe => unknown_process.exe => wscript.exe => cmd.exe => reg.exe
18,0,18,reg.exe,reg.exe
29,0,29,reg.exe,unknown_process.exe => cmd.exe => cmd.exe => reg.exe
6,0,6,reg.exe,winword.exe => cmd.exe => reg.exe
1,0,1,reg.exe,wscript.exe => unknown_process.exe => unknown_process.exe => reg.exe
1,0,1,reg.exe,svchost.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => taskmgr.exe => unknown_process.exe => unknown_process.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => cmd.exe => unknown_process.exe => cmd.exe => cmd.exe => reg.exe
1,0,1,reg.exe,wscript.exe => unknown_process.exe => wscript.exe => unknown_process.exe => reg.exe
3,0,3,reg.exe,unknown_process.exe => unknown_process.xyz => unknown_process.xyz => unknown_process.xyz => reg.exe
3,0,3,reg.exe,unknown_process => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process => unknown_process => cmd.exe => reg.exe
1,0,1,reg.exe,setup.exe => cmd.exe => reg.exe
68,68,0,reg.exe,cmd.exe => reg.exe
27,0,27,reg.exe,unknown_process.exe => cmd.exe => unknown_process.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => taskmgr.exe => unknown_process.exe => cmd.exe => cmd.exe => reg.exe
4,0,4,reg.exe,unknown_process.exe => svchost.exe => svchost.exe => cmd.exe => reg.exe
1,0,1,reg.exe,unknown_process.exe => notepad.exe => notepad.exe => cmd.exe => reg.exe
2,0,2,reg.exe,unknown_process.exe => setup.exe => reg.exe
1,0,1,reg.exe,setup.exe => unknown_process.exe => unknown_process.exe => unknown_process.tmp => cmd.exe => wscript.exe => cmd.exe => reg.exe
346,0,346,reg.exe,unknown_process.exe => reg.exe
2,0,2,reg.exe,unknown_process.exe => wscript.exe => cmd.exe => csrss.exe => cmd.exe => reg.exe
56,0,56,reg.exe,unknown_process.exe => cmd.exe => unknown_process.exe => unknown_process.exe => cmd.exe => reg.exe
1,0,1,reg.exe,excel.exe => cmd.exe => reg.exe
3,0,3,reg.exe,wscript.exe => unknown_process.exe => reg.exe
1,1,0,ie4uinit.exe,unknown_process.exe => unknown_process.tmp => cmd.exe => ie4uinit.exe
1,0,1,ie4uinit.exe,unknown_process.exe => unknown_process.tmp => ie4uinit.exe
3,0,3,netsh.exe,unknown_process.exe => dllhost.exe => netsh.exe
1,0,1,netsh.exe,wscript.exe => unknown_process.cmd => unknown_process.exe => netsh.exe
9,0,9,netsh.exe,unknown_process.exe => cmd.exe => cmd.exe => netsh.exe
553,2,551,netsh.exe,unknown_process.exe => unknown_process.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.exe => notepad.exe => netsh.exe
287,0,287,netsh.exe,unknown_process.exe => netsh.exe
82,0,82,netsh.exe,netsh.exe
1,0,1,netsh.exe,unknown_process.exe => cscript.exe => unknown_process.exe => unknown_process.exe => netsh.exe
3,0,3,netsh.exe,cmd.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,install.exe => unknown_process.exe => netsh.exe
3,0,3,netsh.exe,unknown_process.exe => unknown_process.exe => cmd.exe => cmd.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => unknown_process.exe => msbuild.exe => netsh.exe
48,0,48,netsh.exe,unknown_process.exe => cmd.exe => netsh.exe
16,0,16,netsh.exe,unknown_process.exe => unknown_process.tmp => cmd.exe => netsh.exe
17,0,17,netsh.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => ctfmon.exe => netsh.exe
10,0,10,netsh.exe,unknown_process.exe => unknown_process.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => sihost.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.tmp => svchost.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.exe => regasm.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => cmd.exe => unknown_process.exe => netsh.exe
13,2,11,netsh.exe,unknown_process.exe => unknown_process.tmp => netsh.exe
1,0,1,netsh.exe,excel.exe => unknown_process.exe => unknown_process.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process => regasm.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => regasm.exe => netsh.exe
1,0,1,netsh.exe,wscript.exe => unknown_process.exe => explorer.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => unknown_process.exe => svchost.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => eventvwr.exe => unknown_process => cmd.exe => netsh.exe
8,0,8,netsh.exe,unknown_process.exe => unknown_process.exe => mshta.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,setup.exe => unknown_process.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => cmd.exe => powershell.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => netsh.exe
68,0,68,netsh.exe,unknown_process.exe => svchost.exe => netsh.exe
2,0,2,netsh.exe,csrss.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => notepad.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => searchindexer.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => unknown_process.tmp => unknown_process.exe => unknown_process.tmp => netsh.exe
1,0,1,netsh.exe,wscript.exe => unknown_process.exe => unknown_process.exe => netsh.exe
1,0,1,netsh.exe,explorer.exe => explorer.exe => netsh.exe
3,0,3,netsh.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.exe => cmd.exe => unknown_process.exe => unknown_process.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => systemsettings.exe => netsh.exe
1,0,1,netsh.exe,cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => taskmgr.exe => unknown_process.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => netsh.exe
3,0,3,netsh.exe,unknown_process.exe => csrss.exe => netsh.exe
6,0,6,netsh.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => unknown_process.exe => netsh.exe
6,0,6,netsh.exe,powershell.exe => powershell.exe => netsh.exe
3,0,3,netsh.exe,unknown_process.exe => unknown_process.com => unknown_process.exe => netsh.exe
1,0,1,netsh.exe,setup.exe => unknown_process.exe => unknown_process.exe => wscript.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => rundll32.exe => netsh.exe
4,0,4,netsh.exe,unknown_process.exe => unknown_process.exe => explorer.exe => netsh.exe
48,0,48,netsh.exe,unknown_process.exe => wscript.exe => cmd.exe => wscript.exe => cmd.exe => netsh.exe
4,0,4,netsh.exe,unknown_process.exe => cmd.exe => cmd.exe => cscript.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.exe => explorer.exe => explorer.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => explorer.exe => shellexperiencehost.exe => netsh.exe
5,0,5,netsh.exe,unknown_process.exe => unknown_process.exe => unknown_process.exe => regsvcs.exe => cmd.exe => netsh.exe
16,16,0,netsh.exe,wscript.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => unknown_process.tmp => unknown_process.tmp => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => cscript.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => audiodg.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => dwm.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => taskmgr.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => unknown_process.tmp => unknown_process.tmp => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => winlogon.exe => netsh.exe
1,0,1,netsh.exe,svchost.exe => svchost.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => wscript.exe => unknown_process.exe => mshta.exe => unknown_process.exe => unknown_process.exe => mshta.exe => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => regasm.exe => cmd.exe => netsh.exe
2,0,2,netsh.exe,unknown_process.exe => unknown_process.exe => lsass.exe => netsh.exe
35,0,35,netsh.exe,powershell.exe => netsh.exe
12,0,12,netsh.exe,winword.exe => cmd.exe => unknown_process.exe => unknown_process.tmp => unknown_process.tmp => cmd.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => wudfhost.exe => netsh.exe
20,0,20,netsh.exe,unknown_process.exe => explorer.exe => netsh.exe
1,0,1,netsh.exe,unknown_process.exe => shellexperiencehost.exe => netsh.exe
3,0,3,netsh.exe,unknown_process.exe => conhost.exe => netsh.exe
2,0,2,cmstp.exe,cmd.exe => cmstp.exe
3,0,3,cmstp.exe,unknown_process.exe => cmstp.exe
2,0,2,cmstp.exe,winword.exe => cmd.exe => cmd.exe => cmstp.exe
6,0,6,cmstp.exe,cmstp.exe
9,0,9,certutil.exe,unknown_process.exe => cmd.exe => certutil.exe
2,0,2,certutil.exe,excel.exe => cmd.exe => certutil.exe
2,0,2,certutil.exe,unknown_process.exe => unknown_process.exe => cmd.exe => certutil.exe
1,0,1,certutil.exe,unknown_process.exe => certutil.exe
1,0,1,certutil.exe,winword.exe => cmd.exe => cmd.exe => powershell.exe => certutil.exe
9,0,9,certutil.exe,cmd.exe => certutil.exe
1,0,1,certutil.exe,excel.exe => certutil.exe
5,0,5,certutil.exe,wscript.exe => powershell.exe => cmd.exe => certutil.exe
2,0,2,certutil.exe,unknown_process.exe => cmd.exe => cmd.exe => unknown_process.exe => cmd.exe => powershell.exe => cmd.exe => certutil.exe
